,T,WAM.TN,WAM.FP,WAM.FN,WAM.TP,WAM.Rc,WAM.Pr,WAM.F1,WAM.Sn,WAM.Sp,Tpr,Fpr,T,BN.TN,BN.FP,BN.FN,BN.TP,BN.Rc,BN.Pr,BN.F1,BN.Sn,BN.Sp,Tpr,Fpr,T,SVM.TN,SVM.FP,SVM.FN,SVM.TP,SVM.Rc,SVM.Pr,SVM.F1,SVM.Sn,SVM.Sp,Tpr,Fpr
80,0.0,2291,70,28,2611,0.99,0.97,0.98,0.99,0.97,0.99,0.03,0.0,2354,7,127,2512,0.95,1.0,0.97,0.95,1.0,0.95,0.0,0.0,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
81,0.5,2308,53,39,2600,0.99,0.98,0.98,0.99,0.98,0.99,0.02,0.5,2354,7,127,2512,0.95,1.0,0.97,0.95,1.0,0.95,0.0,0.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
82,1.0,2317,44,52,2587,0.98,0.98,0.98,0.98,0.98,0.98,0.02,1.0,2354,7,127,2512,0.95,1.0,0.97,0.95,1.0,0.95,0.0,1.0,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
83,1.5,2326,35,58,2581,0.98,0.99,0.98,0.98,0.99,0.98,0.01,1.5,2354,7,127,2512,0.95,1.0,0.97,0.95,1.0,0.95,0.0,1.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
84,2.0,2331,30,67,2572,0.97,0.99,0.98,0.97,0.99,0.97,0.01,2.0,2354,7,127,2512,0.95,1.0,0.97,0.95,1.0,0.95,0.0,2.0,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
85,2.5,2335,26,78,2561,0.97,0.99,0.98,0.97,0.99,0.97,0.01,2.5,2359,2,170,2469,0.94,1.0,0.97,0.94,1.0,0.94,0.0,2.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
86,3.0,2339,22,95,2544,0.96,0.99,0.98,0.96,0.99,0.96,0.01,3.0,2361,0,200,2439,0.92,1.0,0.96,0.92,1.0,0.92,0.0,3.0,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
87,3.5,2346,15,110,2529,0.96,0.99,0.98,0.96,0.99,0.96,0.01,3.5,2361,0,200,2439,0.92,1.0,0.96,0.92,1.0,0.92,0.0,3.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
88,4.0,2349,12,133,2506,0.95,1.0,0.97,0.95,0.99,0.95,0.01,4.0,2361,0,200,2439,0.92,1.0,0.96,0.92,1.0,0.92,0.0,4.0,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
89,4.5,2352,9,146,2493,0.94,1.0,0.97,0.94,1.0,0.94,0.0,4.5,2361,0,200,2439,0.92,1.0,0.96,0.92,1.0,0.92,0.0,4.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
90,5.0,2355,6,162,2477,0.94,1.0,0.97,0.94,1.0,0.94,0.0,5.0,2361,0,200,2439,0.92,1.0,0.96,0.92,1.0,0.92,0.0,5.0,2361,0,2639,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
91,5.5,2358,3,186,2453,0.93,1.0,0.96,0.93,1.0,0.93,0.0,5.5,2361,0,200,2439,0.92,1.0,0.96,0.92,1.0,0.92,0.0,5.5,2361,0,2639,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
92,6.0,2358,3,202,2437,0.92,1.0,0.96,0.92,1.0,0.92,0.0,6.0,2361,0,200,2439,0.92,1.0,0.96,0.92,1.0,0.92,0.0,6.0,2361,0,2639,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
93,6.5,2360,1,225,2414,0.91,1.0,0.96,0.91,1.0,0.91,0.0,6.5,2361,0,200,2439,0.92,1.0,0.96,0.92,1.0,0.92,0.0,6.5,2361,0,2639,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
94,7.0,2360,1,248,2391,0.91,1.0,0.95,0.91,1.0,0.91,0.0,7.0,2361,0,309,2330,0.88,1.0,0.94,0.88,1.0,0.88,0.0,7.0,2361,0,2639,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
95,7.5,2361,0,267,2372,0.9,1.0,0.95,0.9,1.0,0.9,0.0,7.5,2361,0,712,1927,0.73,1.0,0.84,0.73,1.0,0.73,0.0,7.5,2361,0,2639,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
96,8.0,2361,0,282,2357,0.89,1.0,0.94,0.89,1.0,0.89,0.0,8.0,2361,0,1090,1549,0.59,1.0,0.74,0.59,1.0,0.59,0.0,8.0,2361,0,2639,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
97,8.5,2361,0,313,2326,0.88,1.0,0.94,0.88,1.0,0.88,0.0,8.5,2361,0,1246,1393,0.53,1.0,0.69,0.53,1.0,0.53,0.0,8.5,2361,0,2639,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
98,9.0,2361,0,341,2298,0.87,1.0,0.93,0.87,1.0,0.87,0.0,9.0,2361,0,1707,932,0.35,1.0,0.52,0.35,1.0,0.35,0.0,9.0,2361,0,2639,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
99,9.5,2361,0,374,2265,0.86,1.0,0.92,0.86,1.0,0.86,0.0,9.5,2361,0,2639,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.5,2361,0,2639,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
